listing_id,latitude,longitude,neighborhood,room_type,price,review_scores_rating,license,minimum_nights,availability_365,availability_pct,reviews_per_month,host_id,host_name,host_listings_count,is_verified_host,is_high_concentration_host,listing_url,hover_description
3686,38.86339,-76.98889,SE Historic Anacostia,Private room,46.81,4.65,No License,31,355,97.3,0.44,4645,Vita,1,True,False,https://www.airbnb.com/rooms/3686,Vita's Hideaway
3943,38.91195,-77.00456,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,167.24,4.87,Licensed,1,308,84.4,2.78,5059,Vasa,5,True,False,https://www.airbnb.com/rooms/3943,Historic Rowhouse Near Monuments
5589,38.91887,-77.04008,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,83.03,4.49,No License,31,301,82.5,0.47,6527,Amiel,1,True,False,https://www.airbnb.com/rooms/5589,Cozy apt in Adams Morgan
6165,38.95331,-77.03624,"NW-mid Brightwood Park, Crestwood, Petworth",Private room,78.61,5.0,No License,31,359,98.4,0.12,5782,Val,1,True,False,https://www.airbnb.com/rooms/6165,Private Bath & Laundry - Huge Lower Level Suite NW
7103,38.91999,-77.09774,"NW-far Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Entire home/apt,89.74,4.79,No License,31,253,69.3,0.45,17633,Charlotte,13,True,True,https://www.airbnb.com/rooms/7103,Lovely guest suite in a quiet but close-in neighborhood
11785,38.92622,-77.07591,"NW-far Cathedral Heights, McLean Gardens, Glover Park",Entire home/apt,100.68,4.59,No License,31,313,85.8,2.06,32015,Teresa,4,True,False,https://www.airbnb.com/rooms/11785,Sanctuary near Cathedral
12442,38.92756,-77.07667,"NW-far Cathedral Heights, McLean Gardens, Glover Park",Private room,57.68,4.63,No License,31,304,83.3,0.62,32015,Teresa,4,True,False,https://www.airbnb.com/rooms/12442,Peaches & Cream near Cathedral
13744,38.92836,-77.03136,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,137.0,4.85,Licensed,2,210,57.5,0.2,53927,Victoria,1,True,False,https://www.airbnb.com/rooms/13744,"Heart of the City -HalfBlock to METRO, Restaurants"
14218,38.92668,-77.07686,"NW-far Cathedral Heights, McLean Gardens, Glover Park",Private room,58.61,4.62,No License,31,249,68.2,0.57,32015,Teresa,4,True,False,https://www.airbnb.com/rooms/14218,Quiet Comfort near Nat'l Cathedral
17131,38.92644,-77.07646,"NW-far Cathedral Heights, McLean Gardens, Glover Park",Private room,58.61,4.67,No License,31,313,85.8,0.57,32015,Teresa,4,True,False,https://www.airbnb.com/rooms/17131,The Loft near National Cathedral
27682,38.9665,-77.00645,"NE/NW Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Entire home/apt,22.25,5.0,No License,90,305,83.6,0.07,36646,Ellen,2,True,False,https://www.airbnb.com/rooms/27682,Private 1-bed apartment-Walk to METRO
32087,38.91766,-77.04598,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",Private room,,4.88,Exempt,1,0,0.0,0.09,138459,Lucia,11,True,True,https://www.airbnb.com/rooms/32087,Private Suite in Kalorama Gem - Dupont Circle
62122,38.92238,-77.04709,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,142.8,4.87,Licensed,4,164,44.9,1.14,301975,Sarah,1,True,False,https://www.airbnb.com/rooms/62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY"
67483,38.934628,-77.029839,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,114.84,4.52,No License,31,339,92.9,0.88,332901,Chris And Shawanda,1,True,False,https://www.airbnb.com/rooms/67483,Charming B & B in Columbia Heights
93551,38.91433,-77.01876,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",Private room,79.67,4.75,No License,31,315,86.3,0.58,481929,Christopher,4,True,False,https://www.airbnb.com/rooms/93551,Upscale Master Close to Everything
116951,38.91436,-77.0181,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",Private room,63.74,4.7,No License,31,136,37.3,0.49,481929,Christopher,4,True,False,https://www.airbnb.com/rooms/116951,Upscale Private Close to Everything
153545,38.94286,-77.04417,"NW-mid Brightwood Park, Crestwood, Petworth",Private room,51.21,4.67,Licensed,30,321,87.9,0.23,738459,Natasha,4,True,False,https://www.airbnb.com/rooms/153545,Academic Stay Guest Room 3 mi to the White House
161913,38.91296,-77.04639,"NW-mid Dupont Circle, Connecticut Avenue/K Street",Private room,32.93,4.6,No License,75,365,100.0,0.04,767543,Dana,2,True,False,https://www.airbnb.com/rooms/161913,X-tra large room; 3 min walk to Metro
164069,38.91366,-77.00803,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,137.0,4.89,Licensed,1,309,84.7,1.62,5059,Vasa,5,True,False,https://www.airbnb.com/rooms/164069,Master en-suite in historic house near monuments
174808,38.86432,-76.98749,SE Historic Anacostia,Private room,108.5,4.94,Licensed,2,168,46.0,0.77,835242,Jeffrey,1,True,False,https://www.airbnb.com/rooms/174808,Historic American Four Square
175581,38.88022,-76.98677,"SE Capitol Hill, Lincoln Park",Entire home/apt,169.9,4.65,No License,31,173,47.4,0.67,839218,Molly,1,True,False,https://www.airbnb.com/rooms/175581,Entire 1BR Capitol Hill Apartment!
178395,38.96165,-77.01858,"NW-mid Takoma, Brightwood, Manor Park",Private room,263.84,,No License,31,365,100.0,,852801,Allison,2,True,False,https://www.airbnb.com/rooms/178395,"Spare Room for Washington,DC Visit or entire house"
196429,38.96923,-77.02041,"NW-mid Takoma, Brightwood, Manor Park",Entire home/apt,126.71,4.2,No License,31,358,98.1,0.04,956417,Julia,1,True,False,https://www.airbnb.com/rooms/196429,"Takoma Garden apt-Lush yard,pets ok"
198685,38.93395,-77.01625,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,45.64,4.74,No License,31,114,31.2,0.92,966613,Robin,1,True,False,https://www.airbnb.com/rooms/198685,Private room in central location.
201116,38.97474,-77.01997,"NW-mid Takoma, Brightwood, Manor Park",Entire home/apt,59.73,4.48,Licensed,28,265,72.6,1.27,983611,Reed Harrington,1,True,False,https://www.airbnb.com/rooms/201116,Victorian Haven - Private Basement!
204741,38.82768,-76.99624,"SE Congress Heights, Bellevue, Washington Highlands",Private room,,4.6,No License,31,0,0.0,0.65,1005751,Denise,2,True,False,https://www.airbnb.com/rooms/204741,1-Suburbia in the City--Best Value!!!
223203,38.98853,-77.04441,"NW-mid Colonial Village, Shepherd Park, North Portal Estates",Private room,188.5,4.8,Licensed,2,365,100.0,0.08,1159505,Elizabeth,4,True,False,https://www.airbnb.com/rooms/223203,ROOM FOR RENT IN A NICE AREA OF DC
223922,38.94482,-77.04437,"NW-mid Brightwood Park, Crestwood, Petworth",Entire home/apt,184.0,4.79,Licensed,1,282,77.3,1.48,738459,Natasha,4,True,False,https://www.airbnb.com/rooms/223922,Parkside Retreat in DC. Pets Welcome to Stay Free
251611,38.98853,-77.04441,"NW-mid Colonial Village, Shepherd Park, North Portal Estates",Private room,188.5,5.0,Licensed,2,365,100.0,0.01,1159505,Elizabeth,4,True,False,https://www.airbnb.com/rooms/251611,LUXURY LIVING AT A BARGAIN
251615,38.98853,-77.04441,"NW-mid Colonial Village, Shepherd Park, North Portal Estates",Private room,188.5,4.83,Licensed,2,365,100.0,0.06,1159505,Elizabeth,4,True,False,https://www.airbnb.com/rooms/251615,NICE HOUSE IN A VERY NICE NEIGHBORHOOD
