neighborhood,total_population,total_housing_units,license_compliance,license_compliance_rank,license_compliance_vs_dc_pct,median_price,median_price_rank,median_price_vs_dc_pct,reviews_per_month,reviews_per_month_rank,reviews_per_month_vs_dc_pct,total_listings,total_listings_rank,total_listings_vs_dc_pct,multi_listing_pct,multi_listing_pct_rank,multi_listing_pct_vs_dc_pct,single_listing_pct,two_to_four_listing_pct,five_plus_listing_pct,listings_per_1000,listings_per_1000_rank,listings_per_1000_vs_dc_pct,share_city_pct,entire_home_pct,min_31plus_pct,est_occupancy_pct,median_availability,top10_host_share_pct
"NE Brookland, Brentwood, Langdon",13551,5477,0.6788990825688074,9.0,32.28800841623218,174.49,26.0,-20.567214458050703,1.6916504854368932,20.0,-9.541497796711598,109,19.0,-38.6845521419299,0.3577981651376147,39.0,-45.81444563348443,0.6422018348623852,0.1743119266055046,0.1834862385321101,8.043686812781345,17.0,-19.997627864020757,0.015721909707197463,0.7889908256880734,0.22018348623853212,0.40525323614427555,264.0,0.27522935779816515
"NE Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",14484,5926,0.6440677966101694,15.0,25.500900334409906,205.175,17.0,-6.598534164883679,1.5077358490566037,25.0,-19.37606036353328,59,26.0,-66.81090437040243,0.576271186440678,23.0,-12.728524779527731,0.423728813559322,0.4067796610169492,0.1694915254237288,4.073460370063518,31.0,-59.485432489843504,0.008510024520409635,0.7288135593220338,0.1864406779661017,0.36498723009055034,258.0,0.2711864406779661
"NE Eastland Gardens, Kenilworth",1900,728,0.4444444444444444,30.0,-13.39703953531948,139.0,35.0,-36.723266718259204,2.18875,5.0,17.040161902187172,9,39.0,-94.93725659887494,0.4444444444444444,35.0,-32.6925877384593,0.5555555555555556,0.4444444444444444,0.0,4.736842105263158,29.0,-52.88744904233755,0.0012981393336218088,0.7777777777777778,0.3333333333333333,0.4200913242009132,237.0,0.2222222222222222
"NE Ivy City, Arboretum, Trinidad, Carver Langston",18149,9961,0.4742857142857143,29.0,-7.58226933269092,199.71,19.0,-9.086356807939172,1.831607142857143,16.0,-2.057522996595103,350,9.0,96.88446559930766,0.72,7.0,9.038007863695933,0.28,0.31142857142857144,0.4085714285714286,19.284809080390104,3.0,91.8063828851637,0.050483196307514785,0.8571428571428571,0.35428571428571426,0.3495499021526419,280.0,0.3457142857142857
"NE Mayfair, Hillbrook, Mahaning Heights",9068,4281,0.42,31.0,-18.160202360876905,124.34,39.0,-43.3969135521464,1.0147826086956522,38.0,-45.73600419542526,50,28.0,-71.87364777152749,0.58,22.0,-12.163826998689391,0.42000000000000004,0.3,0.28,5.513895015438906,24.0,-45.158894023208205,0.007211885186787826,0.52,0.44,0.35638356164383567,279.5,0.3
"NE North Michigan Park, Michigan Park, University Heights",12254,4612,0.6708860759493671,10.0,30.726620701432317,133.0,37.0,-39.45463650020485,1.4847826086956522,28.0,-20.603450868627785,79,22.0,-55.56036347901342,0.5822784810126582,20.0,-11.818770011778955,0.4177215189873418,0.35443037974683544,0.22784810126582278,6.446874489962461,20.0,-35.879496048953335,0.011394778595124765,0.6708860759493671,0.3037974683544304,0.3721518987341772,266.0,0.3291139240506329
"NE Union Station, Stanton Park, Kingman Park",35945,19940,0.6157205240174672,19.0,19.977245447248453,251.06,5.0,14.289616242545645,2.3703839732888143,2.0,26.75276939078128,687,1.0,286.45607961921246,0.6026200873362445,17.0,-8.738203025290888,0.3973799126637555,0.24017467248908297,0.3624454148471616,19.11253303658367,4.0,90.09292828561162,0.09909130246646473,0.9112081513828238,0.17321688500727803,0.38380490917429355,253.0,0.3915574963609898
"NE Woodridge, Fort Lincoln, Gateway",9878,4305,0.8648648648648649,2.0,68.52467982316212,196.5,20.0,-10.547639641280098,2.097941176470588,6.0,12.184294668364421,37,32.0,-79.18649935093033,0.3783783783783784,37.0,-42.69774361517481,0.6216216216216216,0.2972972972972973,0.08108108108108109,3.7456975096173313,33.0,-62.74535632130133,0.005336795038222992,0.8918918918918919,0.08108108108108109,0.36830803406145873,271.0,0.21621621621621623
"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",27110,13583,0.7335984095427436,7.0,42.946536631811156,211.0,15.0,-3.9468293349114525,2.0189782608695652,9.0,7.961869802019502,503,4.0,182.95110341843358,0.5467196819085487,25.0,-17.203854201136565,0.4532803180914513,0.27236580516898606,0.27435387673956263,18.554039099963113,5.0,84.53815709757775,0.07255156497908553,0.8449304174950298,0.21669980119284293,0.4059805550260084,246.0,0.31809145129224653
"NE/NW Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",15929,7028,0.6530612244897959,14.0,27.2533296623877,131.86,38.0,-39.97359675877451,1.5665853658536586,22.0,-16.229169684473188,98,20.0,-44.87234963219386,0.46938775510204084,29.0,-28.915130927862627,0.5306122448979591,0.4489795918367347,0.02040816326530612,6.152300834955113,21.0,-38.809320607998366,0.014135294966104139,0.7551020408163265,0.336734693877551,0.377578976796198,255.0,0.22448979591836735
"NE/SE River Terrace, Benning, Greenway, Dupont Park",13545,6452,0.7368421052631579,6.0,43.578592349338756,147.0,34.0,-33.081440342331675,1.3364150943396227,33.0,-28.5371837761114,57,27.0,-67.93595845954133,0.5087719298245614,27.0,-22.950725437446824,0.49122807017543857,0.45614035087719296,0.05263157894736842,4.208194905869324,30.0,-58.14536508990737,0.008221549112938122,0.7368421052631579,0.22807017543859648,0.4550348473924537,214.0,0.2982456140350877
