geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
110010074081000,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1044,459,1150000
110010074081001,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,238,109,1150000
110010074082000,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,805,288,1150000
110010074082002,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,51,18,1150000
110010074082003,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,298,104,1150000
110010074082004,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,263,147,1150000
110010074082005,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,45,21,1150000
110010074082006,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,46,24,1150000
110010074082007,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,74,30,1150000
110010075021000,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1194,421,1150000
110010075021001,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,233,107,1150000
110010075021002,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,56,26,1150000
110010075021003,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,78,19,1150000
110010075021004,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,250,135,1150000
110010075021005,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,223,103,1150000
110010075021006,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,515,141,1150000
110010075022000,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,49,25,1150000
110010075022001,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,365,202,1150000
110010075022002,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,66,75,1150000
110010075022003,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,51,20,1150000
110010075023000,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,440,188,1150000
110010075023001,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,520,229,1150000
110010075023002,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,366,125,1150000
110010075023003,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,109,40,1150000
110010075023004,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,128,125,1150000
110010075023005,520,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,44,16,1150000
110010065002021,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010065002022,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010065002023,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010070001012,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010070001013,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010070001014,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001005,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001006,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001007,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001008,521,"Near Southeast, Navy Yard",Cluster 27,10,0,1150000
110010071001009,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001011,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001012,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001013,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001014,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001015,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001016,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001017,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001018,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010071001019,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072011000,521,"Near Southeast, Navy Yard",Cluster 27,402,488,1150000
110010072011001,521,"Near Southeast, Navy Yard",Cluster 27,255,474,1150000
110010072011002,521,"Near Southeast, Navy Yard",Cluster 27,319,324,1150000
110010072011003,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072011004,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072011005,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072012000,521,"Near Southeast, Navy Yard",Cluster 27,308,221,1150000
110010072012001,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072012002,521,"Near Southeast, Navy Yard",Cluster 27,712,497,1150000
110010072012003,521,"Near Southeast, Navy Yard",Cluster 27,414,340,1150000
110010072012004,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072013000,521,"Near Southeast, Navy Yard",Cluster 27,27,6,1150000
110010072013001,521,"Near Southeast, Navy Yard",Cluster 27,33,1,1150000
110010072013002,521,"Near Southeast, Navy Yard",Cluster 27,34,9,1150000
110010072013003,521,"Near Southeast, Navy Yard",Cluster 27,24,2,1150000
110010072013004,521,"Near Southeast, Navy Yard",Cluster 27,24,1,1150000
110010072013005,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072013006,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072013007,521,"Near Southeast, Navy Yard",Cluster 27,19,1,1150000
110010072013010,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072014000,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072014001,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072014002,521,"Near Southeast, Navy Yard",Cluster 27,414,308,1150000
110010072014005,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072021000,521,"Near Southeast, Navy Yard",Cluster 27,796,589,1150000
110010072021001,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072021002,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072021003,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072022000,521,"Near Southeast, Navy Yard",Cluster 27,372,236,1150000
110010072022001,521,"Near Southeast, Navy Yard",Cluster 27,22,28,1150000
110010072022002,521,"Near Southeast, Navy Yard",Cluster 27,501,385,1150000
110010072022003,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072022004,521,"Near Southeast, Navy Yard",Cluster 27,727,654,1150000
110010072022005,521,"Near Southeast, Navy Yard",Cluster 27,36,219,1150000
110010072023000,521,"Near Southeast, Navy Yard",Cluster 27,1837,1451,1150000
110010072031000,521,"Near Southeast, Navy Yard",Cluster 27,271,211,1150000
110010072031001,521,"Near Southeast, Navy Yard",Cluster 27,142,47,1150000
110010072031002,521,"Near Southeast, Navy Yard",Cluster 27,285,180,1150000
110010072031003,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072031004,521,"Near Southeast, Navy Yard",Cluster 27,13,1,1150000
110010072032000,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072032001,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072032002,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072032003,521,"Near Southeast, Navy Yard",Cluster 27,15,1,1150000
110010072032004,521,"Near Southeast, Navy Yard",Cluster 27,15,1,1150000
110010072032005,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072032006,521,"Near Southeast, Navy Yard",Cluster 27,484,180,1150000
110010072032007,521,"Near Southeast, Navy Yard",Cluster 27,13,2,1150000
110010072032008,521,"Near Southeast, Navy Yard",Cluster 27,24,10,1150000
110010072032009,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072032010,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072032011,521,"Near Southeast, Navy Yard",Cluster 27,39,23,1150000
110010072032012,521,"Near Southeast, Navy Yard",Cluster 27,23,10,1150000
110010072032013,521,"Near Southeast, Navy Yard",Cluster 27,12,1,1150000
110010072032014,521,"Near Southeast, Navy Yard",Cluster 27,11,16,1150000
110010072033000,521,"Near Southeast, Navy Yard",Cluster 27,1121,915,1150000
110010072034000,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072034001,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072034002,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072034003,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
110010072034004,521,"Near Southeast, Navy Yard",Cluster 27,112,48,1150000
110010072034005,521,"Near Southeast, Navy Yard",Cluster 27,0,0,1150000
